,acc,pre_wei,rec_wei,f1_wei,confmat,pre_mac,rec_mac,f1_mac,k_per_class,k_rand,id
0,0.57,0.6737727272727273,0.57,0.5797619047619047,"[[34 29  2  0]
 [ 3 23  2  1]
 [ 3  2  0  0]
 [ 0  1  0  0]]",0.3170454545454545,0.3290450928381963,0.2988095238095238,0,0,Zero
1,0.68,0.7979459691252144,0.68,0.6895599313791304,"[[41 24  0  0]
 [ 1 26  0  2]
 [ 2  2  1  0]
 [ 0  1  0  0]]",0.6055960548885078,0.43183023872679044,0.4299433131945999,0,1,few_0_1
2,0.79,0.7761652542372882,0.79,0.7762739597942965,"[[54 11  0  0]
 [ 3 25  0  1]
 [ 2  3  0  0]
 [ 0  1  0  0]]",0.3850635593220339,0.423209549071618,0.3989013557737261,0,2,few_0_2
3,0.86,0.8161770623742455,0.86,0.8368575851393188,"[[62  3  0  0]
 [ 4 24  0  1]
 [ 5  0  0  0]
 [ 0  1  0  0]]",0.4325955734406438,0.4453580901856764,0.4384674922600619,0,3,few_0_3
4,0.81,0.8637126436781609,0.81,0.8346752351961118,"[[55  6  0  4]
 [ 1 23  3  2]
 [ 2  0  3  0]
 [ 0  1  0  0]]",0.5537356321839081,0.5598143236074271,0.5548561263732823,1,0,few_1_0
5,0.51,0.6702941176470588,0.51,0.5362414056531705,"[[31 27  4  1]
 [ 1 20  1  4]
 [ 3  4  0  0]
 [ 1  0  0  0]]",0.3133169934640523,0.3097319347319347,0.2818309141838554,0,0,Zero
6,0.78,0.8189124423963133,0.78,0.7722284836065573,"[[55 10  0  1]
 [ 4 22  0  0]
 [ 3  2  1  1]
 [ 0  1  0  0]]",0.6289170506912443,0.4555860805860806,0.457671618852459,0,1,few_0_1
7,0.79,0.750625,0.79,0.7682758620689656,"[[58  7  0  1]
 [ 4 21  0  1]
 [ 4  3  0  0]
 [ 0  1  0  0]]",0.3837594696969697,0.4216200466200466,0.4007314524555904,0,2,few_0_2
8,0.85,0.7899094567404427,0.85,0.8188537442552041,"[[62  3  0  1]
 [ 3 23  0  0]
 [ 6  1  0  0]
 [ 0  1  0  0]]",0.4236670020120724,0.456002331002331,0.4392403352257367,0,3,few_0_3
9,0.84,0.8936507936507937,0.84,0.8615777358490565,"[[59  4  2  1]
 [ 0 21  2  3]
 [ 0  2  3  2]
 [ 0  0  0  1]]",0.5873015873015872,0.7825507825507825,0.6037560646900269,1,0,few_1_0
10,0.49,0.6836113789778205,0.49,0.5174325782092772,"[[29 39  0  1]
 [ 5 20  2  0]
 [ 0  2  0  0]
 [ 0  0  0  0]]",0.29520250723240116,0.27748625687156425,0.2518878101402373,0,0,Zero
11,0.75,0.7941071428571428,0.75,0.7590963380281689,"[[51 18  0  0]
 [ 3 24  2  0]
 [ 2  0  0  0]
 [ 0  0  0  0]]",0.3705357142857143,0.3916791604197901,0.3730140845070422,0,1,few_0_1
12,0.8,0.7996969696969697,0.8,0.7986953405017921,"[[58 11  0  0]
 [ 6 22  1  0]
 [ 2  0  0  0]
 [ 0  0  0  0]]",0.38636363636363635,0.39980009995002497,0.3922341696535245,0,2,few_0_2
13,0.86,0.8479059249208503,0.86,0.8528415559772295,"[[61  8  0  0]
 [ 4 25  0  0]
 [ 2  0  0  0]
 [ 0  0  0  0]]",0.41700587969244685,0.43653173413293356,0.4258776091081594,0,3,few_0_3
14,0.73,0.8453181818181819,0.73,0.778021323127392,"[[51  9  7  2]
 [ 4 21  0  4]
 [ 0  0  1  1]
 [ 0  0  0  0]]",0.4380681818181818,0.4908170914542729,0.43361126298523783,1,0,few_1_0
